File,Energy
Si2B2Mo4-5460_POSCAR, -69.355
B24P3-388_POSCAR, -178.99
Si3Mo3-189_POSCAR, -49.362
Si2B3Mo8P4-3391_POSCAR, -142.46
Si1B1Mo6P2-5017_POSCAR, -90.094
Si4B5-5277_POSCAR, -50.953
Si8-625_POSCAR, -40.145
Si8B2P2-5220_POSCAR,  -67.48
Si6B4P4-4248_POSCAR, -82.419
B4Mo4P3-2505_POSCAR, -89.465
Si4Mo1P4-4903_POSCAR, -54.777
Si4B4-6181_POSCAR, -45.317
Si2B3Mo4-5942_POSCAR, -75.205
B3Mo2-3194_POSCAR,  -42.58
Si8B4-564_POSCAR,  -66.98
Si2Mo2P2-3247_POSCAR, -44.342
Si8Mo3-6740_POSCAR,  -75.04
Si5Mo4P3-1861_POSCAR, -91.616
Si5Mo3P6-7224_POSCAR, -92.417
B2P4-6714_POSCAR, -34.573
Mo12-3_POSCAR,  -125.9
Si3Mo2P7-1238_POSCAR, -75.146
Si6B4-6366_POSCAR, -56.465
Si7P9-3185_POSCAR, -84.238
Si2B2Mo6P2-1090_POSCAR, -102.74
Si6Mo5-5114_POSCAR, -87.788
Si2B2Mo8-4939_POSCAR, -114.64
Si7B3P8-6393_POSCAR, -99.277
Si5Mo2P5-3132_POSCAR, -74.783
B3Mo3P2-6990_POSCAR, -64.996
Si1B2Mo1P3-1645_POSCAR, -45.837
Si4Mo3P13-6174_POSCAR,  -124.6
Si4Mo2P3-2708_POSCAR,  -59.71
Mo3P3-6127_POSCAR, -50.711
Si2B1-4374_POSCAR, -16.362
B1Mo2P2-6620_POSCAR, -39.787
Si4B2P4-4778_POSCAR, -55.979
Si6B4-1724_POSCAR, -55.206
Si2B2Mo2P5-1544_POSCAR, -73.662
Si2B1P2-6570_POSCAR, -28.157
Si3B5P11-3606_POSCAR, -107.71
B2Mo3P2-1952_POSCAR,  -58.24
Si7Mo4-4474_POSCAR, -82.411
Si7Mo5-1389_POSCAR, -94.848
Si2B1P1-4237_POSCAR, -22.348
Si1Mo4P5-2380_POSCAR, -79.878
